Type, Size, Saturation, Time
list, 2, 35, 4.291534423828125e-06
list, 2, 35, 4.0531158447265625e-06
list, 2, 35, 2.384185791015625e-06
list, 2, 35, 2.6226043701171875e-06
list, 2, 35, 3.337860107421875e-06
list, 2, 35, 4.5299530029296875e-06
list, 2, 35, 2.86102294921875e-06
list, 2, 40, 2.86102294921875e-06
list, 2, 40, 3.5762786865234375e-06
list, 2, 40, 4.291534423828125e-06
list, 2, 40, 4.0531158447265625e-06
list, 2, 40, 3.0994415283203125e-06
list, 2, 40, 3.5762786865234375e-06
list, 2, 40, 2.86102294921875e-06
list, 2, 40, 2.86102294921875e-06
list, 2, 40, 2.6226043701171875e-06
list, 2, 40, 2.6226043701171875e-06
list, 2, 45, 3.5762786865234375e-06
list, 2, 45, 3.0994415283203125e-06
list, 2, 45, 3.337860107421875e-06
list, 2, 45, 4.0531158447265625e-06
list, 2, 45, 2.6226043701171875e-06
list, 2, 45, 2.6226043701171875e-06
list, 2, 45, 3.0994415283203125e-06
list, 2, 45, 2.86102294921875e-06
list, 2, 45, 2.6226043701171875e-06
list, 2, 45, 2.6226043701171875e-06
list, 2, 50, 2.86102294921875e-06
list, 2, 50, 3.5762786865234375e-06
list, 2, 50, 3.0994415283203125e-06
list, 2, 50, 3.5762786865234375e-06
list, 2, 50, 4.0531158447265625e-06
list, 2, 50, 2.6226043701171875e-06
list, 2, 50, 2.86102294921875e-06
list, 2, 50, 2.6226043701171875e-06
list, 2, 50, 2.6226043701171875e-06
list, 2, 50, 3.337860107421875e-06
list, 2, 55, 4.291534423828125e-06
list, 2, 55, 2.86102294921875e-06
list, 2, 55, 2.86102294921875e-06
list, 2, 55, 2.6226043701171875e-06
list, 2, 55, 2.6226043701171875e-06
list, 2, 55, 2.6226043701171875e-06
list, 2, 55, 3.0994415283203125e-06
list, 2, 55, 3.814697265625e-06
list, 2, 55, 2.384185791015625e-06
list, 2, 55, 4.0531158447265625e-06
list, 2, 60, 3.337860107421875e-06
list, 2, 60, 3.814697265625e-06
list, 2, 60, 2.86102294921875e-06
list, 2, 60, 2.6226043701171875e-06
list, 2, 60, 3.0994415283203125e-06
list, 2, 60, 2.86102294921875e-06
list, 2, 60, 3.337860107421875e-06
list, 2, 60, 2.86102294921875e-06
list, 2, 60, 3.0994415283203125e-06
list, 2, 60, 2.86102294921875e-06
list, 2, 65, 3.0994415283203125e-06
list, 2, 65, 3.0994415283203125e-06
list, 2, 65, 3.0994415283203125e-06
list, 2, 65, 2.6226043701171875e-06
list, 2, 65, 2.86102294921875e-06
list, 2, 65, 3.0994415283203125e-06
list, 2, 65, 3.5762786865234375e-06
list, 2, 65, 2.6226043701171875e-06
list, 2, 65, 2.86102294921875e-06
list, 2, 65, 2.86102294921875e-06
list, 2, 70, 2.6226043701171875e-06
list, 2, 70, 3.0994415283203125e-06
list, 2, 70, 3.0994415283203125e-06
list, 2, 70, 3.0994415283203125e-06
list, 2, 70, 2.86102294921875e-06
list, 2, 70, 3.814697265625e-06
list, 2, 70, 3.5762786865234375e-06
list, 2, 70, 3.337860107421875e-06
list, 2, 70, 4.0531158447265625e-06
list, 2, 70, 5.245208740234375e-06
list, 2, 75, 2.86102294921875e-06
list, 2, 75, 2.86102294921875e-06
list, 2, 75, 2.86102294921875e-06
list, 2, 75, 3.337860107421875e-06
list, 2, 75, 3.0994415283203125e-06
list, 2, 75, 3.0994415283203125e-06
list, 2, 75, 2.86102294921875e-06
list, 2, 75, 3.337860107421875e-06
list, 2, 75, 3.337860107421875e-06
list, 2, 75, 2.6226043701171875e-06
list, 2, 80, 3.337860107421875e-06
list, 2, 80, 2.86102294921875e-06
list, 2, 80, 2.86102294921875e-06
list, 2, 80, 3.0994415283203125e-06
list, 2, 80, 2.6226043701171875e-06
list, 2, 80, 2.86102294921875e-06
list, 2, 80, 4.291534423828125e-06
list, 2, 80, 2.6226043701171875e-06
list, 2, 80, 3.0994415283203125e-06
list, 2, 80, 3.337860107421875e-06
list, 2, 85, 2.6226043701171875e-06
list, 2, 85, 2.384185791015625e-06
list, 2, 85, 2.86102294921875e-06
list, 2, 85, 2.6226043701171875e-06
list, 2, 85, 2.86102294921875e-06
list, 2, 85, 3.5762786865234375e-06
list, 2, 85, 3.814697265625e-06
list, 2, 85, 4.0531158447265625e-06
list, 2, 85, 3.5762786865234375e-06
list, 2, 85, 4.0531158447265625e-06
list, 2, 90, 3.0994415283203125e-06
list, 2, 90, 3.814697265625e-06
list, 2, 90, 3.337860107421875e-06
list, 2, 90, 2.86102294921875e-06
list, 2, 90, 2.86102294921875e-06
list, 2, 90, 3.0994415283203125e-06
list, 2, 90, 3.0994415283203125e-06
list, 2, 90, 4.291534423828125e-06
list, 2, 90, 3.814697265625e-06
list, 2, 90, 3.0994415283203125e-06
list, 2, 95, 2.86102294921875e-06
list, 2, 95, 2.6226043701171875e-06
list, 2, 95, 2.86102294921875e-06
list, 2, 95, 2.6226043701171875e-06
list, 2, 95, 2.86102294921875e-06
list, 2, 95, 2.86102294921875e-06
list, 2, 95, 2.384185791015625e-06
list, 2, 95, 2.384185791015625e-06
list, 2, 95, 2.6226043701171875e-06
list, 2, 95, 2.6226043701171875e-06
list, 2, 100, 2.384185791015625e-06
list, 2, 100, 2.6226043701171875e-06
list, 2, 100, 3.0994415283203125e-06
list, 2, 100, 2.6226043701171875e-06
list, 2, 100, 2.86102294921875e-06
list, 2, 100, 2.6226043701171875e-06
list, 2, 100, 2.6226043701171875e-06
list, 2, 100, 3.5762786865234375e-06
list, 2, 100, 3.337860107421875e-06
list, 2, 100, 5.245208740234375e-06
list, 3, 5, 3.337860107421875e-06
list, 3, 5, 4.291534423828125e-06
list, 3, 5, 2.6226043701171875e-06
list, 3, 5, 3.337860107421875e-06
list, 3, 5, 4.0531158447265625e-06
list, 3, 5, 4.291534423828125e-06
list, 3, 5, 4.0531158447265625e-06
list, 3, 5, 3.814697265625e-06
list, 3, 5, 3.0994415283203125e-06
list, 3, 5, 3.337860107421875e-06
list, 3, 10, 3.0994415283203125e-06
list, 3, 10, 2.384185791015625e-06
list, 3, 10, 2.86102294921875e-06
list, 3, 10, 3.0994415283203125e-06
list, 3, 10, 2.86102294921875e-06
list, 3, 10, 2.86102294921875e-06
list, 3, 10, 3.0994415283203125e-06
list, 3, 10, 2.86102294921875e-06
list, 3, 10, 3.337860107421875e-06
list, 3, 10, 3.0994415283203125e-06
list, 3, 15, 3.814697265625e-06
list, 3, 15, 2.6226043701171875e-06
list, 3, 15, 4.0531158447265625e-06
list, 3, 15, 2.1696090698242188e-05
list, 3, 15, 3.5762786865234375e-06
list, 3, 15, 3.0994415283203125e-06
list, 3, 15, 3.5762786865234375e-06
list, 3, 15, 3.0994415283203125e-06
list, 3, 15, 3.0994415283203125e-06
list, 3, 15, 3.337860107421875e-06
list, 3, 20, 3.5762786865234375e-06
list, 3, 20, 3.0994415283203125e-06
list, 3, 20, 2.86102294921875e-06
list, 3, 20, 2.6226043701171875e-06
list, 3, 20, 2.384185791015625e-06
list, 3, 20, 3.337860107421875e-06
list, 3, 20, 2.6226043701171875e-06
list, 3, 20, 3.337860107421875e-06
list, 3, 20, 3.0994415283203125e-06
list, 3, 20, 4.76837158203125e-06
list, 3, 25, 3.337860107421875e-06
list, 3, 25, 3.0994415283203125e-06
list, 3, 25, 2.384185791015625e-06
list, 3, 25, 2.86102294921875e-06
list, 3, 25, 3.337860107421875e-06
list, 3, 25, 2.384185791015625e-06
list, 3, 25, 3.0994415283203125e-06
list, 3, 25, 3.0994415283203125e-06
list, 3, 25, 3.0994415283203125e-06
list, 3, 25, 2.86102294921875e-06
list, 3, 30, 2.6226043701171875e-06
list, 3, 30, 2.6226043701171875e-06
list, 3, 30, 2.384185791015625e-06
list, 3, 30, 3.814697265625e-06
list, 3, 30, 2.86102294921875e-06
list, 3, 30, 2.6226043701171875e-06
list, 3, 30, 2.384185791015625e-06
list, 3, 30, 2.86102294921875e-06
list, 3, 30, 2.86102294921875e-06
list, 3, 30, 2.384185791015625e-06
list, 3, 35, 2.86102294921875e-06
list, 3, 35, 3.5762786865234375e-06
list, 3, 35, 2.86102294921875e-06
list, 3, 35, 2.384185791015625e-06
list, 3, 35, 4.76837158203125e-06
list, 3, 35, 3.814697265625e-06
list, 3, 35, 2.86102294921875e-06
list, 3, 35, 2.86102294921875e-06
list, 3, 35, 3.337860107421875e-06
list, 3, 35, 4.5299530029296875e-06
list, 3, 40, 3.5762786865234375e-06
list, 3, 40, 4.0531158447265625e-06
list, 3, 40, 3.0994415283203125e-06
list, 3, 40, 3.0994415283203125e-06
list, 3, 40, 3.814697265625e-06
list, 3, 40, 2.6226043701171875e-06
list, 3, 40, 2.86102294921875e-06
list, 3, 40, 3.337860107421875e-06
list, 3, 40, 4.0531158447265625e-06
list, 3, 40, 2.86102294921875e-06
list, 3, 45, 2.86102294921875e-06
list, 3, 45, 3.337860107421875e-06
list, 3, 45, 2.86102294921875e-06
list, 3, 45, 2.6226043701171875e-06
list, 3, 45, 2.86102294921875e-06
list, 3, 45, 3.0994415283203125e-06
list, 3, 45, 3.337860107421875e-06
list, 3, 45, 3.5762786865234375e-06
list, 3, 45, 3.5762786865234375e-06
list, 3, 45, 4.0531158447265625e-06
list, 3, 50, 2.6226043701171875e-06
list, 3, 50, 2.86102294921875e-06
list, 3, 50, 4.0531158447265625e-06
list, 3, 50, 3.337860107421875e-06
list, 3, 50, 3.814697265625e-06
list, 3, 50, 3.337860107421875e-06
list, 3, 50, 3.5762786865234375e-06
list, 3, 50, 2.6226043701171875e-06
list, 3, 50, 3.0994415283203125e-06
list, 3, 50, 2.1457672119140625e-06
list, 3, 55, 2.86102294921875e-06
list, 3, 55, 2.86102294921875e-06
list, 3, 55, 2.6226043701171875e-06
list, 3, 55, 2.6226043701171875e-06
list, 3, 55, 3.814697265625e-06
list, 3, 55, 3.0994415283203125e-06
list, 3, 55, 3.0994415283203125e-06
list, 3, 55, 2.6226043701171875e-06
list, 3, 55, 2.384185791015625e-06
list, 3, 55, 3.0994415283203125e-06
list, 3, 60, 3.0994415283203125e-06
list, 3, 60, 3.0994415283203125e-06
list, 3, 60, 3.5762786865234375e-06
list, 3, 60, 3.0994415283203125e-06
list, 3, 60, 3.337860107421875e-06
list, 3, 60, 2.86102294921875e-06
list, 3, 60, 2.86102294921875e-06
list, 3, 60, 2.6226043701171875e-06
list, 3, 60, 3.5762786865234375e-06
list, 3, 60, 3.5762786865234375e-06
list, 3, 65, 2.6226043701171875e-06
list, 3, 65, 3.0994415283203125e-06
list, 3, 65, 4.0531158447265625e-06
list, 3, 65, 2.86102294921875e-06
list, 3, 65, 3.814697265625e-06
list, 3, 65, 3.5762786865234375e-06
list, 3, 65, 2.6226043701171875e-06
list, 3, 65, 2.384185791015625e-06
list, 3, 65, 2.86102294921875e-06
list, 3, 65, 2.86102294921875e-06
list, 3, 70, 2.86102294921875e-06
list, 3, 70, 3.814697265625e-06
list, 3, 70, 2.86102294921875e-06
list, 3, 70, 3.0994415283203125e-06
list, 3, 70, 2.86102294921875e-06
list, 3, 70, 3.0994415283203125e-06
list, 3, 70, 2.86102294921875e-06
list, 3, 70, 3.337860107421875e-06
list, 3, 70, 3.0994415283203125e-06
list, 3, 70, 3.0994415283203125e-06
list, 3, 75, 2.86102294921875e-06
list, 3, 75, 4.0531158447265625e-06
