Type, Size, Saturation, Time
list, 3, 30, 3.7670135498046875e-05
list, 3, 30, 2.7418136596679688e-05
list, 3, 30, 2.956390380859375e-05
list, 3, 30, 4.2438507080078125e-05
list, 3, 30, 3.2901763916015625e-05
list, 3, 30, 4.6253204345703125e-05
list, 3, 30, 5.4836273193359375e-05
list, 3, 30, 2.9802322387695312e-05
list, 3, 30, 2.6464462280273438e-05
list, 3, 30, 3.409385681152344e-05
list, 3, 35, 3.0040740966796875e-05
list, 3, 35, 5.412101745605469e-05
list, 3, 35, 6.246566772460938e-05
list, 3, 35, 6.175041198730469e-05
list, 3, 35, 5.1021575927734375e-05
list, 3, 35, 4.291534423828125e-05
list, 3, 35, 4.482269287109375e-05
list, 3, 35, 4.57763671875e-05
list, 3, 35, 5.245208740234375e-05
list, 3, 35, 4.315376281738281e-05
list, 3, 40, 4.1484832763671875e-05
list, 3, 40, 5.8650970458984375e-05
list, 3, 40, 3.933906555175781e-05
list, 3, 40, 4.1484832763671875e-05
list, 3, 40, 5.4836273193359375e-05
list, 3, 40, 3.9577484130859375e-05
list, 3, 40, 4.363059997558594e-05
list, 3, 40, 5.507469177246094e-05
list, 3, 40, 4.6253204345703125e-05
list, 3, 40, 3.981590270996094e-05
list, 3, 45, 4.4345855712890625e-05
list, 3, 45, 4.363059997558594e-05
list, 3, 45, 4.8160552978515625e-05
list, 3, 45, 3.218650817871094e-05
list, 3, 45, 3.1948089599609375e-05
list, 3, 45, 5.245208740234375e-05
list, 3, 45, 6.127357482910156e-05
list, 3, 45, 4.2438507080078125e-05
list, 3, 45, 4.744529724121094e-05
list, 3, 45, 5.173683166503906e-05
list, 3, 50, 4.124641418457031e-05
list, 3, 50, 4.1961669921875e-05
list, 3, 50, 6.937980651855469e-05
list, 3, 50, 4.696846008300781e-05
list, 3, 50, 4.220008850097656e-05
list, 3, 50, 3.981590270996094e-05
list, 3, 50, 4.76837158203125e-05
list, 3, 50, 4.029273986816406e-05
list, 3, 50, 3.886222839355469e-05
list, 3, 50, 4.6253204345703125e-05
list, 3, 55, 5.2928924560546875e-05
list, 3, 55, 5.7697296142578125e-05
list, 3, 55, 5.91278076171875e-05
list, 3, 55, 5.936622619628906e-05
list, 3, 55, 4.744529724121094e-05
list, 3, 55, 5.1021575927734375e-05
list, 3, 55, 3.6716461181640625e-05
list, 3, 55, 4.1484832763671875e-05
list, 3, 55, 3.218650817871094e-05
list, 3, 55, 3.9577484130859375e-05
list, 3, 60, 5.3882598876953125e-05
list, 3, 60, 4.2438507080078125e-05
list, 3, 60, 5.2928924560546875e-05
list, 3, 60, 3.9577484130859375e-05
list, 3, 60, 4.363059997558594e-05
list, 3, 60, 4.863739013671875e-05
list, 3, 60, 3.361701965332031e-05
list, 3, 60, 3.62396240234375e-05
list, 3, 60, 5.555152893066406e-05
list, 3, 60, 7.557868957519531e-05
list, 3, 65, 5.316734313964844e-05
list, 3, 65, 5.5789947509765625e-05
list, 3, 65, 5.602836608886719e-05
list, 3, 65, 5.7697296142578125e-05
list, 3, 65, 4.506111145019531e-05
list, 3, 65, 4.982948303222656e-05
list, 3, 65, 5.078315734863281e-05
list, 3, 65, 3.886222839355469e-05
list, 3, 65, 8.058547973632812e-05
list, 3, 65, 3.170967102050781e-05
